ID,MX2_WI_SEASON,MX2_WI_SEASON_INFO,MX2_WI_SEASON_TYPE,MX3_CONT_INT,MX3_CONT_INT_INFO,MX4_WFREQ,MX4_WFREQ_INFO,MX4G_WFREQ_AWAR,MX4G_WFREQ_AWAR_INFO,MX5_WFREQ_NDAYS,MX5_WFREQ_NHRS,MX5_WFREQ_HRS/DAY,MX5_WFREQ_HRS/WEEK,MX5_WFREQ_HRS_INFO,MX5_WFREQ_HRS_INFO2,MX6_WPRESS,MX6_WPRESS_INFO,NOTES
111,"abril, mayo, julio, agosto",las epocas de mayor escasez,,continua,llega con muy poca presión,diario,,,,7,24,24/7,168,"continua; diario, con poca presión","continua; diario, con poca presión",No,"A veces. Cuando estan todos los vecinos, casi no hay presión porque tienen tinacos. Ella si tiene agua directo de la cisterna que surte (?) a todos",
112,N/A,solo cuando anuncian cortes llega menos. nunca se ha ido,,continua,cuando hacen cortes nunca se va pero sale poca,diario,,,,7,24,24/7,168,24/7,continua; 24/7,Sí,,
113,"marzo, abril",,,intermitente,"por las noches, de 3am-6am",diario,,,,7,1-3,6/7 ?,42,"diario, 3am-9am. El resto del tiempo no ha habido agua. generalmente, es fluido, aunque llega a salir un chorrito.",diario; 3am-6am y preg 5: 3am-9am,No,Utilizamos la cisterna y vamos midiendo la cantidad de agua a utilizar,
114,"junio, julio, arreglos/mantenimiento",1 semana porque arreglaron tuberias,,intermitente,"6am-9am, 3 días a la semana",diario,,,,N/A,?,24/7??,168,"diario, 24 horas al día","preg 3: intermitente, 6am-9am, 3 días a la semana
preg 4: diario
preg 5: diario, 24 horas al día",Sí,,preg 3 says dif than 24/7
115,"semana santa, diciembre",cae solo en la noche,,intermitente,"siempre ha escaseado. Día cae chorrito, poco. 10pm-7am",diario,,,,N/A,?,24/7 or 9/7??,168,24/7,"preg 3: intermitente, 10pm a 7am diario
preg 5: 24/7",No,pastilla c/oro en pileta--> 1 x semana tinaco sin filtro,preg 3 says dif than 24/7
116,abril,,,intermitente,cada tercer día despues de las 6pm-hasta 2am,diario,,,,N/A,?,24/7 or 8/2??,168,"diario, 24 horas, cambia la presion del agua","preg 3: intermitente; cada tercer día despues de las 6pm-2am
preg 5: diario, 24 horas, cambia la presion del agua",Sí,,preg 3 says dif than 24/7
117,arreglos/mantenimiento,"cambia. no hay temporada especifica. solo x mantenimiento. cuando hicieron utopia les llegaba menos, desde entonces les llega menos. 3 años atras (adaptacion)",,continua,,diario,,,,7,24,24/7,168,24/7,,No,"manana bien (hasta las 2), mediodia muy poquita (esperar que llene pileta)",
118,"marzo, abril",una vez se les fue 1 día y medio--2 años atras. Marzo/Abril--> les llega menos presión,,continua,nunca han quedado sin agua. pero hay temporadas en que baja la presión. nunca se corta,diario,,,,7,24,24/7,168,24/7,continua; 24/7,N/A,"12-5pm presión baja. Nunca baja demasiado, pueden hacer todo.",
119,"época de calor, marzo, abril","calor--marzo--abril//se corta y/o llega muy poco. muy random// dicen q porque no hay suficiente, se rompe un tubo",,intermitente,2 antes de sabado de gloria la quitan. 3 veces al año corte. muy variable. regular% escasea,diario,cae muy poca,,,7,24,24/7,168,"noches cae más, miércoles cae más. 24/7 pero un hilo de agua",pero un hilo de agua,No,pero tinacos y cisterna lo arreglan,
120,marzo,,,intermitente,"2 o 3 días a la sem, 24 hrs por servicio de pipas",1 a 3 días a la semana,,,,"1, 2",12,24/2-3 or 12/1-2??,18,"12 hrs al día, 1 o 2 días a la semana","preg 3: 2 o 3 días a la semana, 24 hrs por servicio de pipa
preg 5: 12 hrs al día, 1 o 2 días a la semana",Sí,,preg 3 vs preg 5
121,marzo,,,continua,solo que disminuye la cantidad de agua,diario,,,,7,24,24/7,168,"tenemos diario, las 24 hrs. pero por las mañanas de 5am a 8am es cuando hay suficiente y con buena presión.","tenemos diario, las 24 hrs. pero por las mañanas de 5am a 8am es cuando hay suficiente y con buena presión.",Sí,,
122,N/A,"no escasea, porque hay cisterna en el condominio",,N/A,,diario,,,,7,24,24/7,168,"diario, 24 horas del día","diario, 24 hrs del día (n/a for continua/intermitente)",Sí,,
123,no sabe,"en la colonia escasea pero no se en que meses, en casa tenemos cisterna.",,N/A,24/7,diario,,,,N/A,24,24/7,168,"diario, todo el día, cambia el fluyo de agua","diario, todo el día, cambia el fluyo de agua (n/a for continua/intermitente)",No,es poca presión,
124,N/A,no escasea,,continua,"por las mañanas llega c/menos presión, de 7 a 11 hay poca, despues ya cae mas",diario,,,,7,24,24/7,168,diario,continua; diario (presión: preg 3),Sí,,
125,"semana santa, marzo, abril","pero con poca presión (es en semana santa)--> tal vez xq se ""mojan""-->(?)",,continua,,diario,,,,7,24,24/7,168,diario,continua,Sí,,
126,N/A,no escasea,,continua,,diario,,,,7,24,24/7,168,siempre,continua; siempre,Sí,,
127,N/A,no escasea. casi nunca se va,,continua,,diario,,,,7,24,24/7,168,24/7,continua,Sí,,
128,"semana santa, abril, arreglos/mantenimiento",semana santa--abril--no sabe porque. siempre avisan. la quitan x desperdicio. Otras veces dicen q arreglan tuberia o solo la cortan,,intermitente,"no sufren de agua x tinacos. 4-5am --> hasta 11. Ahí deja de llegar. Todos los días, a veces finde llega. Aveces dejan sin agua por días --> van a tinaco comunitario o compra garrafones",diario,excepto ayer,,,7,16,5.5/5-7 o 16.5/7??,115.5,a las 12 ya no cae o cae poca. Vuelve a 7-8 pm hasta día sgte.,"preg 3: 4 o 5 am--> hasta 11. ahi deja de llegar. todos los días, a veces finde llega
preg 5: a las 12 ya no cae o cae poca. Vuelve a 7-8 pm hasta día sgte.",No,"no, a veces no puede lavar ropa--> reciclan baño a trapear. si no hay presión no se llena el tinaco--> afecta personas arriba. A las 12 tiene que bajar manguera a la tira (necesidades)",7:30pm-12:00pm next day?
129,"mayo, julio",,,N/A,cuando escasea cae poca x las mañanas o gastas o definitivamente noche. generalmente sí tiene en epoca normal,diario,,,,7,24,24/7,168,todos los días y todo el día,todos los dias y todo el dia (n/a for continua or intermitente),Sí,aunque es porque llenan tinaco y de ahi se suten agua. por las noches es cuando hay más presión. (necesidades),
130,N/A,no identifica ningun mes,,continua,Hay todos los días agua. Pero en la tarde hay menos presión de agua.,diario,,,,7,24,24/7,168,todos los días,continua; en la tarde hay menor presion de agua,Sí,filtro en el tinaco. los filtros quedan con mucha basura y tierra. (sucia),
131,abril,identifica mes de abril,,continua,con buena presión. En las tardes hay más presión,diario,,,,7,24,24/7,168,diario,continua (preg 3 presión); diario,Sí,,
132,semana santa,desde hace 2 años el agua cae mejor (adaptacion). En semana santa cae menos agua y a veces la cortan.,,continua,,diario,,,,7,24,24/7,168,diario. Cae todos los días de 4 a 6 de la tarde cae con menos presión.,continua; diario. Cae todos los días de 4 a 6 de la tarde cae con menos presión.,Sí,,
133,"época de calor, marzo, abril",,,continua,en las tardes cae muy poca agua,diario,,,,7,24,24/7,168,"hay agua todo el día, todos los días. En las tardes hay menor presión de agua.","hay agua todo el día, todos los días. En las tardes hay menor presión de agua.",Sí,Utilizan calcetin para filtrar el agua. Cundo cambian el calcetin encuentran tierra y animalitos. (sucia),
134,"marzo, abril","no escasea, pero por marzo o abril llega poca",,continua,,diario,,,,7,24,24/7,168,24/7,continua,Sí,,
135,"abril, junio","abril y en junio. escasea de 3 a 4 dias, puede dejar de tener y reducen la presión. lo almacenan.",,intermitente,es constante 2 o 3 días y luego se reduce el flujo y escasea 2 o 3 días,diario,,,,7,24,24/7 ??,168,24/7,intermitente; es constante 2 o 3 días y luego se reduce el flujo y escasea 2 o 3 días,Sí,,preg 3 vs preg 5
136,"semana santa, diciembre",,,continua,nunca se va. luego poca,diario,,,,7,24,24/7,168,"24/7, baja presión en dic. semana santa",24/7; continua,Sí,"usual% normal, pero dic-sem. santa--> baja presión. No afecta xq tinaco.",
137,septiembre,"finde, cae poca, apenas un chorrito. //septiembre llega menos. A veces se corta.",,intermitente,"a veces cae solo noche, o solo mañana. o todo el día. Hasta 3 días sin agua.",diario,pero sab y dgo cae mañana poca. no sabe xq,,,7,24,24/7 or <24??,168,24/7 muy poco finde,"preg 3: intermitente; aveces cae solo noche, o solo mañana, o todo el día. Hasta 3 días sin agua.
preg 4: pero sab y domingo cae mucha y poca. no sabe xq
preg 5: 24/7",No,"lavar trastes. lavar ropa. no sabe si hay coneccion directa a toma. Cree q es la q usan para ropa, bañarnos} cisterna mejora la presión | si les acabe cisterna ? no.",
138,diciembre,dic--no sabe por qué. llega poca. se corta. han parado hasta 1 mes sin agua,,intermitente,tb en abril. Hay ciertas horas q si hay agua. dgo no cayó nada,diario,ahora les deja de llega x dgo completa%,,,1,24,24/1??,,1 día completo a la semana (llega) y luego no llega--siempre avisan cuando se va a corter. cuando mas falta,1 dia completo/semana y luego no llega; hay ciertas horas q si hay agua. domingo no cayó nada.; diario?,Sí,,preg 4 and 5; diario o 1 día/semana
139,"feb, marzo",,,intermitente,2 veces la semana se corta--días completos. y a veces baja poca,diario,,,,7,24,24/7 o ??,168,"24/7 mañanas cae--> llena tinaco
tarde solo llega abajo. Igual suficiente para ropa. ",a veces a la semana se corta--días completos y a veces baja poca.,Sí,no mucha; partic o su mama//lavar 2 veces al mes,preg 3 vs preg 5
140,N/A,"a veces cae menos, sin epoca calor. Nunca deja de llegar//llave patio directa de calle--> lavadero--> tubería llena tambo--> hotado(?) automatico--> bomba--> mama de--> 2 tinacos--> si llega menos no se llena tambo y la vez esta tapado",,continua,mañana a 6-7 tarde. madrugada sale bien-->usa menos agua la gente. cuando hacen mantenimiento a tuberia de ciudad. se dan cuenta xq tardan mas en recolectar para lavadera<-- toma principal.,diario,,,,7,24,24/7 ??,168,24/7,check preg 3 y 5,Sí,ha pasado q no puede lavar ropa xq no hay presión. 5 veces al año,preg 3 vs preg 5
141,"abril, mayo, diciembre",diciembre supuesta% al cisterna cutzamala. x reparaøes. Tben Abril/mayo,,intermitente,deja de llegar. una semana sin agua ahora. no avisan si se corta. han estado hasta 2 sem sin agua,N/A,al inicio llegó poquito. llevan 1 sem sin. Antes de eso tenían siempre. En valle casi no falta.,,,N/A,?,??,126,"almacenamiento, comunitario. no notan hasta que falta. ",llevan 1 semana sin. antes de eso tenían siempre. en valle casi no falta,Sí,almacenamiento,"1 wk=0 3wks=24/7, so 168x3=504 and 504/4=126, so 126 hrs/wk on avg"
142,septiembre,,,intermitente,diario. por las mañanas 7am-11-12pm,diario,,,,"4, 5, 6",5,5/4-7,27.5,4 a 6 días a la semana de 7am-12pm,diario; diario. por las mañanas 7am-11 o 12pm; 4 a 6 días a la semana de 7am-12pm,Sí,por las mananas,diario o 4-6 días
143,"marzo, abril",,,intermitente,"diario, 12 de la noche hasta 5am.",diario,,,,7,24?,24/7 o 5/7??,168,"todo el día, con no tan buena presión. pero sí suficiente","preg 3: intermitente; diario, 12 de la noche hasta las 5 am.
preg 5: todo el día, con no tan buena presión. pero sí suficiente.",Sí,,preg 5: 24/7 y preg 3: 5/7
144,"marzo, abril",,,intermitente,"diario, 10pm-madrugada o mañana",diario,,,,7,~8,~8/7,~56,"diario, varia el chorro de agua","preg 3: intermitente; diario, 10 pm-madrugada o mañana
preg 5: diario, varia el chorro de agua",Sí,,
145,"marzo, abril",,,intermitente,"2 o 3 veces a la semana, por las noches, flujo peqeuño",diario,,,,7,35,?/7,,"ha habido diario, poco flujo, pero hay no ha habido desde las 10am","preg 3: intermitente; 2 o 3 veces a la semana, por las noches, flujo pequeño
preg 5: ha habido diario, poco flujo, pero hay no ha habido desde las 10am",Sí,,preg 5
146,"marzo, abril, mayo",,,intermitente,"diario pero muy poquito (poco flujo, un chorrito)",diario,,,,7,N/A,?/7,,"hay diario, con un chorro suficiente...","perg 3: intermitente; diario pero muy poquita
preg 5: hay diario, con un chorro suficiente...",Sí,,no hrs
147,N/A,no percibe que falte el agua en su vivienda en ninguna epoca.,,continua,,diario,,,,7,24,24/7,168,diario. en las mañanas hay bastante agua y en las tardes baja la presión. En las noches sube de nuevo la presión.,continua. presión varia,Sí,,
148,"marzo, abril",meses mas escasos. no sabe xq,,intermitente,c/3er día. Hay que estar al pendiente porque no es regular,diario,,,,7,24,24/7 ??,168,24/7,"preg 3: intermitente; c/3er días. Hay que estar al pendiente porque no es regular.
preg 5: 24/7",N/A,"cae mucha. A veces se tira, aunque esta cerrada, gotea",
149,"semana santa, abril",excepø-->ahora. abril--semana santa. una vez les faltó 2 días sin agua. corte corte,,N/A,"aunque sea poco, cae siempre (continua)",diario,,,,7,24,24/7,168,"chorrito, pero siempre",(n/a for c/i pero preg3 dice: aunque sea poco cae siempre),Sí,,
150,marzo,escasea 1 o 2 semanas,,intermitente,solo en la noche,diario,"si falta, no se dan cuenta",,,7,168,24/7 o solo en la noche??,168,siempre,"preg 3: intermitente; solo en la noche
preg 5: siempre",Sí,buena presión desde toma,
151,"semana santa, marzo",no,,intermitente,1-3 dia semana } todo el día. no avisan,N/A,3-4 días x semana,,,"3, 4",10.5,24/3-4 o 3/3-4??,10.5,3 horas al día. usual% mañana y noche//tinaco llenan un día si y un dia no,"preg 3 y 4: 3 a 4 días x semana. todo el día. no avisan
preg 5: 3 horas al día. usual% mañana y noche//tinaco llenan un día si y un dia no",Sí,almacenamiento,preg 4: 3-4 días x semana
152,semana santa,,,continua,hay veces que cae muy poquita noche cae más. nunca se ha ido,diario,,,,7,24,24/7,168,24/7,continua; 24/7,No,"si todos agarran agua, deja de caer en otras llaves. no pueden lavar ropa el mismo día",
153,diciembre,"este año antes no llegaba nunca. 1 semana sin, o llega un chorrito.-->solo en la noche (adaptación)",,intermitente,,diario,,,,7,24,24/7??,168,24/7. pero muy poco,"preg 3: intermitente
preg 5: 24/7. pero muy poco",a veces,a veces. noche aumenta presión--mañana--> disminuye. Cree q xq son varios y solo es 1 medidor,
154,N/A,no ubica falta de agua durante los ultimos años,,continua,"durante las mañanas cae mucha agua, pero durante las tardes la presión baja",diario,,,,7,24,24/7,168,"todo el día tienen agua, solo por las tardes baja la presión. Pero no deja de caer","continua; todo el día tienen agua, solo por las tardes baja la presión. Pero no deja de caer",Sí,,
155,"mayo, junio",,,continua,a las 11am empieza a disminuir la presión del agua,diario,,,,7,24,24/7,168,diario. solo disminuye la presión en las mañanas.,continua; diario. solo disminuye la presión en las mañanas.,No,no terminan de lavar trastes o ropa. lo deja para cuando cae más agua.,
156,"semana santa, diciembre",dic--semana santa: la quitan como 1 ves antes para que no la desperdician. pasa avisando,,intermitente,esta cisterna--> no se enteran. siempre avisan escasez. semana santa. tienen q reciclar agua--> de copa x ejemplo// hace 2 días tinaco no lo habían llenado--> lo llenaron recien. corte 2 días,4 a 6 días a la semana,,,,"4, 5, 6",N/A,??/4-6,,ult semanas ha faltado agua--> cisterna no se ha llenado.,ult semanas ha faltado agua--> cisterna no se ha llenado.,Sí,x cisterna y tinaco,no hrs
157,diciembre,semana pasada--1 semana sin agua--> 1era semana de dic. se cortó x 1era vez en 3 años,,continua,,N/A,faltó x 7 días. normal el resto,,,7,24,24/7,168,agua siempre--> noche hay más presión. Caía muy poco e la noche. Sola alcanzaron a llenar 1 tambo,continua; agua siempre,Sí,,
158,diciembre,no es predecible. 12 dic. --> caer menos--solo cae en la mañana. 2-3 am hasta 6am,,intermitente,se tiene que parar temprano--> llenan tambos. Antes del 12 de dic nunca les había faltado,diario,,,,N/A,?,24/7 (3 semanas) y ~3.5/7 (1 semana)??,132.125,"1 semana. todos los días, de 2-3am hasta las 6am. 3 semanas anteriores 24/7","1 semana. todos los días, de 2-3am hasta las 6am. 3 semanas anteriores 24/7 (should i avg?)",Sí,,"168x3 + 24.5x1=528.5 and 528.5/4=132.125, so 132.125 hrs/wk on avg"
159,marzo,"Marzo, la quitaron. Antes de que la quitaron llegaba más agua y con mayor presión. Ahora llega menos dias y con menos presión.",,intermitente,cae en la noche (1:00-6:00) llega el agua. En el día ya no hay agua,"en todo el mes, 1 a 3 veces",,,,2,4,4/2,8,"2 veces por semana, aproximadamente 4 horas, con poca presión y no hay un horario fijo","2 veces por semana, aproximadamente 4 horas; cae en la noche (1:00-6:00) llega el agua; en todo el mes, 1 a 3 veces?",No,"depende del flujo, bañarse y trastes sí, pero para alvar la ropa ya no",
160,abril,"Abril, se reduce la presión, no les dijeron porque, pero salió en las noticias que habra menos agua",,continua,,diario,,,,7,24,24/7,168,en las primeras horas del día y en la noche hay más presión. En el día es menos pero nunca deja de haber,preg 5,Sí,,
161,abril,no conce bien la razón,,continua,,diario,,,,7,24,24/7,168,24/7,preg 5,Sí,,
162,octubre,la presión baja,,continua,,diario,"durante el día hay menor presión, por la noche hay más presión.",,,7,24,24/7,168,24/7,,Sí,,
163,abril,abril--cae poquito. varía.,,continua,cae muy poquita,diario,,,,7,24,24/7,168,no notarían si se corta xq hay almacenamiento,,Sí,,
164,N/A,N/A,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
165,"junio, julio","1 vez al año, junio-julio cae menos",,continua,presión. no sube a los tinacos. Baja la presión.,diario,"tienen una llave directa de la toma--> lavaderos pero usa la mamá--> 1er piso. son varias unidades, varios pisos",,,7,24,24/7,168,24/7,,Sí,porque tienen almacenamiento,
166,semana santa,semana santa--cuando se rompen tuberias,,intermitente,8am-1pm,diario,,,,7,1-5,1-5/7?,21,no constante%--llegaba muy poco. 1 hora c/día o se iba a las 11. vinieron a poner corteles usaron carretera Mx-puebla,8am-1pm; no constante%--llegaba muy poco. 1 hora c/día o se iba a las 11,Sí,solo temprano,
167,arreglos/mantenimiento,"arreglos, martes--constante",,intermitente,,diario,,,,7,3,3/7,21,9 a 12pm,9 a 12pm,No,"a veces--se va agua temprano. llave alto--> no sube. no hay bomba// no puede lavar, ropa, baño, noche?",
168,"marzo, diciembre","marzo, dic (24 de dic)--> ya 2 años --> se va x una semana",,intermitente,1 vez x semana,diario,poca,,,7,2,2/7,14,regular 2 horas al día. 8am a 10 am,regular 2 horas al día. 8am a 10 am; 1 vez x semana pero diario??,Sí,cuando llega eso si,
169,"época de calor, abril, mayo",,,intermitente,en las mañanas cae agua y a medio día ya no hay agua,1 a 3 días a la semana,,,,"1, 2, 3",6,6/1-3,12,"Aveces tiene agua un día a la semana y los fines de semana solamente. Es decir, de 1 a 3 veces a la semana y sólo por las mañanas. Por 6 horas tiene agua.","Aveces tiene agua un día a la semana y los fines de semana solamente. Es decir, de 1 a 3 veces a la semana y sólo por las mañanas. Por 6 horas tiene agua.",Sí,,
170,semana santa,cortan el agua,,intermitente,Tienen agua de las 8am-12pm. A veces hay uno o 2 días a la semana en los que no hay agua.,4 a 6 días a la semana,,,,"4, 5",4,4/4-5,18,5-4 días a la semana por 4 horas,5-4 días a la semana por 4 horas; tienen agua de las 8am a las 12 pm. Aveces hay uno o 2 días a la semana en los que no hay agua,Sí,,
171,"mayo, junio",,,intermitente,de 6 de la mañana a las 4 de la tarde,diario,,,,7,10,10/7,70,todos los días de 6 de la mañana a 4 de la tarde.,todos los días de 6 de la mañana a 4 de la tarde.,Sí,,
172,marzo,,,N/A,"una semana sí, una semana no, cae poca agua y sucia",diario,,,,7,4-5,4-5/7??,31.5,de 8 a 12-1pm; con buena presión,"preg 5: de 8 a 12-1pm; preg 3: con buena presión; una semana si, una semana no??",Sí,,
173,abril,,,N/A,"1 vez x semana, solo un par de hrs en todo el día",1 a 3 días a la semana,,,,2,4,4/2??,8,"2 veces por semana, 9pm-1am","1 vez por semana; 2 veces por semana, 9pm-1am",Sí,,
174,"marzo, abril, mayo",,,N/A,no llega el agua y tenemos que ir por pipas,diario,,,,7,3,3/7,21,"diario de 10am a 1 pm, chorro normal","diario de 10am a 1 pm, chorro normal",Sí,,
175,"marzo, abril",,,N/A,"diario con poca presión. llega sucia, como color chocolate",diario,,,,7,6.5,6.5/7,45.5,"diario de 8am a 2:30 pm, llega poco al principio y despues cae mas","diario de 8am a 2:30 pm, llega poco al principio y despues cae mas",Sí,solo tenemos un lavadero y luego es insuficiente el agua y el lavadero,
176,"marzo, abril",,,intermitente,1 vez a la semana. de 8am-12pm,diario,,,,7,3-4,3-4/7??,24.5,"diario, 8 a 11-12pm; buen chorro","diario, 8 a 11-12pm; buen chorro y intermitente: 1 vez a la semana de 8-12pm",Sí,,
177,diciembre,diciembre les cae muy poquito. Aveces se corta x 2 días. primavera cuando más,,intermitente,,diario,,,,7,6,6/7,42,todos los días 9 am~3pm/ cuando falta agua-->reportan x las bombas,todos los días 9 am~3pm/ cuando falta agua-->reportan x las bombas,Sí,,
178,"semana santa, marzo, abril","marzo y abril, porque ocupan para hacer limpieza y en semana santa no les gusta que tiren agua",,intermitente,"diario, pero de 9am-11am. no tiene cisterna o tinaco, guarda en botes que llena c/la manguera. (la rotan entre vecinos).",diario,,,,7,2,2/7,14,"diario, 2 hrs de 9 a 11am","diario, 2 hrs de 9 a 11am",Sí,,
179,"agosto, arreglos/mantenimiento",xq estaban reparando ductos,,intermitente,"diario, 8am-11am/ la calidad es buena",diario,8am-11am,,,6,3,3/6??,18,"lunes a sabado, de 8am-11am. Domingos no","diario, 8am-11am; lunes a sabado, de 8am-11am. Domingos no",Sí,,diario(preg3) pero dgo no? (preg5)
180,semana santa,semana santa. cree q es xq tiran agua--2 o 3 días. o cuando hay fugas--> 3 a 4 días en arreglar. les falta 1 día luego se repone. 1 o 2 x mes falta,,intermitente,falta 3-4 días/resto estable,diario,no cayó 1era semana diciembre x 2 días sin aviso,,,7,8.5-9,3.5-4/7??,26.25,"8am-11:30am o 12 max, todos los días","falta 3-4 días/resto-->estable; 8am-11:30am o 12 max, todos los días",No,nada de presión. No llena hasta tambo--> muy arriba. Tiene que llenar cubeta--> llenar tambo manual.,preg 5
181,N/A,hace medio año,,intermitente,"solo los martes de cada 8 días, todo ese día. Desde las  6am-6am del sig día",1 a 3 días a la semana,,,,1,24,24/1,24,1 día c/8 días,1 día c/8 días,Sí,,
182,primavera,"primavera, siempre escasea. Tiene agua c/15 o cada mes. pueden ponerse los 2 días o solo medio",,N/A,--> preg 2,1 a 3 días a la semana,"de 7am-1pm, desde hace 2 semanas",,,2,?,"1sem=0
2sem=14 hrs
3sem=49 hrs
4sem=49 hrs
avg= 28 ?",28,en la 1era semana no llego. En la 2da semana llegó 2 días 7 hrs. en la 3rd semana todos los días 7 hrs. 4ta semana llego todos los días 7 hrs,en la 1era semana no llego. En la 2da semana llegó 2 días 7 hrs. en la 3rc semana todos los días 7 hrs. 4ta semana llego todos los días 7 hrs,No,"si la ponen 2 veces en la semana, llega con poca presión, cuando la ponen más días tiene mayor presión. sale sucia. a veces cuando la quitan + de un mes huele a huevo.",14+49+49=112 and 112/4=28 hrs/wk on avg
183,"semana santa, abril","abril por lo de semana santa, la quitan como 15 días",,intermitente,todos los días de 5am-5pm,diario,,,,7,12,12/7,84,diario/ 5am-5pm,diario/ 5am-5pm,Sí,,
184,"semana santa, marzo, abril","semana santa, marzo/abril. la cortan para que gente no se moje. 2 días sin agua--> luego normal. // casi no p(?). En loma casi no",,intermitente,,diario,,,,7,7,7/7,49,7am hasta 2pm. Constante todo el año,7am hasta 2pm. Constante todo el año,Sí,,
185,"época de calor, junio, julio",,,intermitente,llega a las 8am y se va como a las 12pm o 1pm. cuando escasea recibe 2-3 hrs y no llega con mucha presión.,diario,,,,7,5,5/7,35,todos los días solo 5 horas al día,todos los días solo 5 horas al día,Sí,,
186,"época de calor, mayo, junio",hay menos horas de agua,,intermitente,algunas horas al día de 5am-medio día. se da cuenta por el ruido del agua pasando por tuberias,4 a 6 días a la semana,,,,4,7,4/7,28,"los miercoles, jueves, y viernes hay agua. Inicios o fines de semana suelen cortar el agua. ","los miercoles, jueves, y viernes hay agua. Inicios o fines de semana suelen cortar el agua. ",Sí,"se filtra atravéz de tela en las llaves. La tela queda con residuos tierrosos, verdes o negros",
187,"abril, mayo, junio",les reducen los días en los que llega el agua.,,intermitente,recibe agua de las 8am-12pm. Todos los días reciben agua.,diario,,,,7,~4,5/7,35,diario. No sabe a que hora empieza a caer agua. Se da cuenta hasta que se levanta a las 8am y hasta las 12:00 pm,diario. No sabe a que hora empieza a caer agua. Se da cuenta hasta que se levanta a las 8am y hasta las 12:00 pm,Sí,,
188,N/A,no escasea el agua,,intermitente,de las 9-12.,diario,,,,7,3,3/7,21,hay agua diario de las 9 a las 12 de la tarde,hay agua diario de las 9 a las 12 de la tarde,Sí,,
189,"junio, julio","jun-jul mas falta. Rude que una semana no caia, otra si",,intermitente,este año estuvieron más de 15 días sin agua.,diario,,,,7,3-3.5,3-3.5/7,22.75,8:30 o 9 hasta las 12. todos los días,8:30 o 9 hasta las 12. todos los días,Sí,hay días que no. Les cuesta trabajo pero si pueden hacer todo,
190,N/A,estable,,intermitente,dos calles más alla les falta todo el tiempo,N/A,"3 o 4 días. tercer día--lega c/poca potencia, cada tercer día--> no es estable",,,"3, 4",3,3/3-4,10.5,3 hrs c/tercer día. Llega tb en otros momentos pero muy baja presión.,3 hrs c/tercer día. Llega tb en otros momentos pero muy baja presión.,Sí,,
191,"época de calor, mayo, junio, julio","el año pasado, en epoca de calor. Mayo-JUnio-Julio. Tuvieron que ir por pipas.",,intermitente,a veces llega el agua en la noche. se va por las mañanas 6 hrs. 4 días llega agua y 3 no,4 a 6 días a la semana,,,,4,6,6/4,24,solo 4 días a la semana hay agua y llega por 6 horas.,solo 4 días a la semana hay agua y llega por 6 horas.,Sí,,
192,marzo,marzo les cortan 1 o 2 semanas. no les avisan,,intermitente,c/1 o 2 semanas,diario,,,,7,5-6,5-6/7,38.5,de 7am a 1 o 12pm,de 7am a 1 o 12pm,Sí,,
193,"época de calor, marzo, abril, mayo",,,intermitente,ene la madurgada empieza a caer el agua y deja de caer entre una y dos de la tarde. los findes quitan el agua.,4 a 6 días a la semana,,,,5,6,6/5??,40,los fines de semana no hay agua. Los días que cae agua es de la mañana a las 1 de la tarde. No sabe a que hora empieza a caer el agua.,en la madrugada empieza a caer el agua; los fines de semana no hay agua. Los días que cae agua es de la mañana a las 1 de la tarde. No sabe a que hora empieza a caer el agua.,No,"A veces, no siempre cae con presión suficiente",preg 5: no sabe a que hora empieza a caer
194,abril,"abril, sabado de gloria. Resto constante. 8 días. No avisan. Cae de hileta hasta que se va",,intermitente,preg 2,diario,,,,7,3-4,3-4/7,24.5,8am-11pm o 12pm,diario; 8am-11pm o 12pm,Sí,,
195,"marzo, abril",Calcula que se reduce en un 70% y viene en peor calidad,,intermitente,"actual% diario, pero con baja presión",4 a 6 días a la semana,,,,"5, 6",24,24/6.5??,132,"de 5 a 6 día sí llega, las 24 hrs del día","actualmente diario pero con baja presión!!; de 5 a 6 día sí llega, las 24 hrs del día",Sí,de 7 a 11am. Despues disminuye y ya no es suficiente,diario o 5-6 días
196,N/A,la segunda mitad del año no llega,,intermitente,"actual% cae hasta cada 15 días, 4 hrs por 2-3 días seguido","en todo el mes, 1 a 3 veces",,,,4,3,4/3??,12,"los lunes, martes, y miercoles, por 4 hrs. Los días pueden cambiar","actualmente cae hasta cada 15 días, 4 hrs por 2 o 3 días seguido; en todo el mes, 1 a 3 veces: los lunes, martes, y miercoles, por 4 hrs. Los días pueden cambiar",Sí,,went w/what preg5 says but look at preg4 and 3
197,"marzo, abril",se reduce un 60%,,continua,en las tardes reduce un 70% la presión,diario,,,,7,24,24/7,168,"todo el día, todos los días hay agua. Sólo varía en la presión del agua disminuye por las tarde. ","todo el día, todos los días hay agua. Sólo varía en la presión del agua disminuye por las tarde. ",Sí,,
198,N/A,estable siempre,,intermitente,6-11 lu-miercoles,1 a 3 días a la semana,,,,3,5,5/3,15,6am a 11pm--lunes a miércoles,6am a 11pm--lunes a miércoles,Sí,tienen una cisterna conectada y cisterna para que tenga fuerza--cae gota x gota desde calle,
